,categoryScalingFactor,productScalingFactor,value
0,60.0,60.0,0.860706283692
1,63.0,60.0,0.861127800906
2,60.0,63.0,0.851773376818
3,63.0,57.0,0.857998090878
4,60.75,61.5,0.860761112992
5,63.75,61.5,0.861041594375
6,66.0,60.0,0.854293285169
7,62.0625,61.125,0.854714802383
8,62.625,59.25,0.851547788021
9,64.125,59.25,0.857190959636
10,64.5,60.0,0.861030958638
11,63.375,60.75,0.858108983471
12,63.9375,59.625,0.857190959636
13,62.25,60.0,0.860339595778
14,62.4375,60.375,0.861927867422
15,63.1875,60.375,0.85376663531
16,62.484375,60.09375,0.860234463133
17,62.15625,60.5625,0.85494039118
18,62.53125,60.5625,0.867454592898
19,62.8125,60.375,0.861421585631
20,62.3203125,60.515625,0.851547788021
21,62.578125,60.65625,0.858738564516
22,62.71875,60.5625,0.857663859224
23,62.390625,60.65625,0.860761112992
24,62.34375,60.5625,0.861687621357
25,62.484375,60.46875,0.857004924909
26,62.4140625,60.609375,0.853907671141
27,62.625,60.5625,0.858178744065
28,62.6015625,60.515625,0.861127800906
29,62.5078125,60.515625,0.860947147719
30,62.595703125,60.55078125,0.855475671696
31,62.49609375,60.5859375,0.850958614299
32,62.484375,60.5625,0.864690889536
33,62.51953125,60.5390625,0.851498383497
34,62.501953125,60.57421875,0.857137209365
35,62.513671875,60.55078125,0.860528247858
36,62.5048828125,60.568359375,0.86435733913
37,62.5107421875,60.556640625,0.851252399024
38,62.5063476562,60.5654296875,0.867974178031
39,62.5532226562,60.5654296875,0.858371876603
40,62.5015869141,60.5632324219,0.867640627625
41,62.4766845703,60.5661621094,0.861275997833
42,62.5176086426,60.5634155273,0.861887420492
43,62.5087280273,60.5665283203,0.864876924263
44,62.4938964844,60.5668945312,0.858129694086
45,62.5211791992,60.5650634766,0.864680253798
46,62.5007171631,60.5664367676,0.86435733913
47,62.5143585205,60.5655212402,0.864680253798
48,62.5041275024,60.5662078857,0.867640627625
49,62.5017471313,60.5651092529,0.867640627625
50,62.506980896,60.5661735535,0.867974178031
51,62.5092010498,60.5653991699,0.864876924263
52,62.5053939819,60.5660057068,0.864089562892
53,62.5060310364,60.5650558472,0.867974178031
54,62.5074577332,60.5650405884,0.864876924263
55,62.5049171448,60.5654449463,0.864089562892
56,62.5068206787,60.5651397705,0.864876924263
57,62.5065078735,60.5656166077,0.867974178031
58,62.5057907104,60.5656242371,0.867640627625
59,62.5070648193,60.5654182434,0.864876924263
60,62.506111145,60.565574646,0.867974178031
